model,accuracy
lr-890a98bbf1d6ecec2853f1a190f7ad1c,0.7389
lr-890d4fe93dfb02bdf81edad23d79851f,0.4167
lr-8962a164423071dd863cf7af6a65c801,0.7679
lr-89a7fc2f138533e2ade93f6b1ab1e53b,0.2499
lr-89c0688986fbba8724274bd4df430027,0.7272
lr-89cf42164248cc49ea49eaa8c1010abf,0.4709
lr-8a6ec070d091357f4cf358c708eaf325,0.6324
lr-8ac3b692a1120ef392241b6c78735318,0.4087
lr-8b97295639d90ca9417bf168b1e136f7,0.5941
lr-8baefdf5468b1312332a01c7090c8302,0.3125
lr-8bd5e251a42cdd90f75bda8f95006d11,0.2391
lr-8c24fe50052cbcf81baa1aba1d901c71,0.7228
lr-8c4a2720faa2f6baee490e4ad4f885eb,0.7729
lr-8c8c4a7a3a8c29db3c93748540ba5529,0.7534
lr-8e111a12884d983de60638a7462dc228,0.4045
lr-8ed05b2932cfddfd23b988633c986d7e,0.7450
lr-8eec4e8d1076301d175d139830c7c219,0.6379
lr-8f9136e2999c06d10fb225d956196788,0.7703
lr-8fa5d8f44f69cd199da0ac1f2566d240,0.4428
lr-8fde0125a232562bb4f5c01e1e7246ca,0.7405
lr-90ca5f19a6d5e48a241be39e04a14c06,0.4549
lr-913b60d871ea41972d2c405ea06e9f43,0.5929
lr-91655326fd6b81ccd5f552dd440a34cd,0.8022
lr-9169532f0ba565a8b0b78891ee16122b,0.5275
lr-91fa34c678eafe65431a915cfcb28dda,0.7644
lr-922d378ace75cd19f3538a2a150a621d,0.7838
lr-926cfd96db3d72b8985663fbc4a9a88d,0.5794
lr-92e2dc8f41864e7996542c8c94daabed,0.4330
lr-93c9c36c66b18361e2e311bad0e34b8e,0.3985
lr-94485497b53ab21edbc8a5b604220772,0.7804
lr-95144d0dd6ebc07a7620f879ca700408,0.7774
lr-957b69c5af26c4cca4a9fb19ff17e53f,0.7182
lr-958e2d5a826442beb2f47a5d64fb8eba,0.8373
lr-9590d31f8fac36e0d6679c4d62c1cf0a,0.8235
lr-960ba83f874575f95b573434013a5add,0.6917
lr-97178795522d2d3caf0701bc8be9cc00,0.7921
lr-979dc34194574e47f3bea1b590073924,0.7918
lr-981891f4eecd0c10413e49e0e89a1266,0.8095
lr-982834f1102fdb0ace299b606d212391,0.8596
lr-9889d9fcd8eb4c6a6721764f41b253fe,0.6931
lr-98da9b47b03a00cf9326f2cae509824f,0.5759
lr-991bbbce3d46a9a7828d7df9b7e5ece0,0.3857
lr-9a48f89e98f87fc57092abacf27c48d2,0.8397
lr-9b76415588b8cc72bd057f7212946c4d,0.4508
lr-9b94309906a78ee40e4fad0bd7ab266d,0.7328
lr-9c5aca3c9d032bcd19c1059519955505,0.6745
lr-9c80b3a0ed2b85c0535d90012143b6df,0.3624
lr-9ca1451efb59cae0bcbf94c36a631d16,0.3447
lr-9dcda285d058f0892729f8e3dd773027,0.3963
lr-9ef7d532c54972265aa3965aebb9fcdc,0.3388
lr-9f7229c4e0f845d8a04835a321c69ce2,0.7596
lr-9fb35047a0c12faa1a35355fa5a1d31b,0.7602
lr-9fd71cb62b35bfa526a675821ba6b5d7,0.7305
lr-9fe0bcd00893d797517f85b62eb88154,0.7483
lr-9fe2476718588fdb3bbdbc65bb95b2cc,0.7314
lr-a0813962f3c0d633ca5767058c12b4d4,0.3130
lr-a15b7e6216cf273eb805bd94310eb2cb,0.4623
lr-a1b2a8547ad7caa88089dedeed173284,0.7076
lr-a23fd157f22f2fdf585c33b474bbe589,0.3886
lr-a347c9b8b13233563bfb76949aa4c356,0.6266
lr-a3abda4348bd3371c5e0c697b62e1f1a,0.2900
lr-a3ece703094ebaf183f7f0a1fef84a07,0.4899
lr-a50fabb5bd1ca09c52f3fe3c75523fbf,0.5929
lr-a575dd032f0429a5715155c1da971aa9,0.7305
lr-a6bbc1869fa0ba9c52367048648679d9,0.4647
lr-a797f6b80b35670a54e6a4450c344d85,0.2735
lr-a7db253e6b798bfbf37c6f5fa137927a,0.8099
lr-a894ea5d1f852b9d82b4d846bc642481,0.7908
lr-a8d13c66904bb61ae5431cfcb0638a0a,0.3340
lr-aa795ec7447dfd11210b0cf1aa07bfbf,0.6198
lr-aacfa05fe847bfda928c16036f65bc12,0.7523
lr-aae7448f7f21ef139bfd67f1d660baf3,0.2997
lr-ab12213c308688e8c9fd64cce7bc8deb,0.7225
lr-aba3cd8baa084f445d1d0a40f48b5692,0.4470
lr-ac0acd88a72a117cb27a961ee3b40926,0.2422
lr-ac9bd144e8bd2ffef40e0bc21b4723a8,0.2417
lr-aca986c26955ed7843deede7b030215b,0.2235
lr-ad15fe94151fdfd6b87b0b05db5e2e1d,0.3195
lr-ad9fff10475980cae6caff502e7a7fea,0.8066
lr-ae5c22b2e3f26099ab70604d6fea0941,0.3606
lr-aeb592bcb2af7413285920a114a750f1,0.3030
lr-af6a5405a44166685f717d2c3dc6e7fa,0.2331
lr-afcb1ef8fac009f0124dea1573fd7440,0.7242
lr-afd558c88783b98a21ce495c1ddea76e,0.8549
lr-afed68f8dd34d0484808b283ab2d6a8e,0.2923
lr-b05c0e85055a2a919b6492c8016ad5f8,0.3180
lr-b0d1fb8bd1e223d101fb1f1808465a78,0.8190
lr-b15dfa36cf3c4cbbb8ac1ac41686ce82,0.3926
lr-b16b21d5d788a349d1914b3a855baeda,0.8374
lr-b266ed1a52dceb1e2bb81b6bd4b0df71,0.3797
lr-b2853c5d6ae71675f563694eb97d5b6b,0.2376
lr-b3061ef1a9b78e518904317cd9bf0cad,0.3847
lr-b33ae1f5c57779aa4e72c5b81c2d0856,0.4183
lr-b39815a6fbe89066e0a0fee15182337d,0.4097
