model,accuracy
lr_4148,0.7910
lr_4151,0.8392
lr_4153,0.3813
lr_4155,0.3961
lr_4174,0.8262
lr_4175,0.8293
lr_4178,0.8343
lr_4182,0.8224
lr_4183,0.8239
lr_4189,0.6432
lr_4190,0.7171
lr_4192,0.6635
lr_4193,0.7162
lr_4195,0.7998
lr_4198,0.8012
lr_4200,0.8326
lr_4201,0.7502
lr_4203,0.7554
lr_4209,0.7734
lr_4211,0.7613
lr_4214,0.7668
lr_4215,0.7626
lr_4217,0.7707
lr_4219,0.7582
lr_4221,0.7638
lr_4223,0.7736
lr_4228,0.7491
lr_4229,0.6503
lr_4234,0.6819
lr_4235,0.7286
lr_4236,0.6676
lr_4238,0.6453
lr_4240,0.6613
lr_4242,0.7230
lr_4245,0.6561
lr_4246,0.6798
lr_4251,0.7597
lr_4252,0.7618
lr_4253,0.7709
lr_4254,0.7647
lr_4261,0.7535
lr_4262,0.7806
lr_4263,0.7585
lr_4264,0.7662
lr_4266,0.7708
lr_4267,0.7400
lr_4270,0.7923
lr_4273,0.7779
lr_4275,0.7783
lr_4278,0.7667
lr_4279,0.7651
lr_4280,0.7619
lr_4282,0.7639
lr_4283,0.7917
lr_4287,0.7257
lr_4291,0.8032
lr_4301,0.1256
lr_4304,0.1359
lr_4308,0.1562
lr_4309,0.1400
lr_4310,0.1251
lr_4311,0.1609
lr_4314,0.7962
lr_4316,0.7906
lr_4318,0.7846
lr_4322,0.7258
lr_4324,0.7493
lr_4328,0.2081
lr_4331,0.1915
lr_4348,0.7307
lr_4353,0.7456
lr_4354,0.8174
lr_4355,0.7408
lr_4359,0.7506
lr_4361,0.8195
lr_4362,0.5991
lr_4363,0.6144
lr_4366,0.6361
lr_4374,0.7041
lr_4375,0.7582
lr_4376,0.3820
lr_4380,0.2241
lr_4386,0.2805
lr_4392,0.4609
lr_4402,0.4039
lr_4406,0.3399
lr_4407,0.2325
lr_4410,0.2632
lr_4411,0.3627
lr_4422,0.3794
lr_4428,0.5047
lr_4429,0.4435
lr_4431,0.1622
lr_4436,0.4743
lr_4437,0.2886
lr_4441,0.3684
lr_4443,0.2293
lr_4450,0.2674
lr_4453,0.2351
lr_4459,0.2198
lr_4461,0.5560
lr_4481,0.1348
lr_4482,0.1474
lr_4484,0.1555
lr_4487,0.1313
lr_4491,0.2020
lr_4494,0.1385
lr_4496,0.1898
lr_4506,0.2648
lr_4507,0.2400
lr_4525,0.2568
lr_4527,0.2939
lr_4531,0.1799
lr_4534,0.5393
lr_4540,0.4554
lr_4543,0.4045
lr_4544,0.3548
lr_4545,0.4022
lr_4547,0.4099
lr_4552,0.5692
lr_4553,0.5898
lr_4556,0.5449
lr_4558,0.5892
lr_4561,0.5736
lr_4562,0.5640
lr_4565,0.5958
lr_4567,0.5870
lr_4568,0.5671
lr_4569,0.5554
lr_4571,0.4111
lr_4574,0.5707
lr_4575,0.5663
lr_4577,0.5540
lr_4578,0.4289
lr_4582,0.5769
lr_4583,0.5653
lr_4590,0.5652
lr_4592,0.4962
lr_4593,0.5788
lr_4594,0.5802
lr_4596,0.5739
lr_4597,0.5661
lr_4598,0.5598
lr_4601,0.5969
lr_4603,0.5981
lr_4605,0.5615
lr_4606,0.4417
lr_4608,0.5894
lr_4610,0.5995
lr_4614,0.5705
lr_4617,0.5954
lr_4621,0.5995
lr_4623,0.5775
lr_4624,0.5886
lr_4626,0.5649
lr_4627,0.3595
lr_4629,0.5957
lr_4633,0.5538
lr_4634,0.4520
lr_4636,0.5827
lr_4638,0.5811
lr_4643,0.2706
lr_4644,0.2429
lr_4645,0.2602
lr_4648,0.2567
lr_4654,0.2586
lr_4656,0.2533
lr_4658,0.2523
lr_4662,0.2679
lr_4663,0.5690
lr_4666,0.5519
lr_4667,0.5330
lr_4669,0.3410
lr_4672,0.5351
lr_4673,0.5403
lr_4674,0.5107
lr_4675,0.5160
lr_4676,0.4463
lr_4678,0.3666
lr_4679,0.3646
lr_4680,0.3572
lr_4682,0.3455
lr_4683,0.3627
lr_4703,0.5730
lr_4712,0.5745
lr_4713,0.5687
lr_4715,0.5513
lr_4717,0.5261
lr_4722,0.5775
lr_4723,0.5715
lr_4728,0.3594
lr_4731,0.3223
lr_4733,0.3698
lr_4734,0.3643
lr_4735,0.3744
lr_4738,0.3525
lr_4743,0.3492
lr_4748,0.3641
lr_4750,0.3599
lr_4752,0.3420
lr_4753,0.2358
lr_4754,0.3005
lr_4756,0.3210
lr_4757,0.3007
lr_4758,0.2812
lr_4762,0.3122
lr_4763,0.2799
lr_4765,0.2849
lr_4766,0.2824
lr_4767,0.2459
lr_4771,0.3095
lr_4773,0.2656
lr_4777,0.3704
lr_4778,0.3630
lr_4780,0.3589
lr_4782,0.3235
lr_4791,0.3616
lr_4792,0.3565
lr_4793,0.3565
lr_4794,0.3444
lr_4799,0.3783
lr_4801,0.3355
lr_4803,0.3754
lr_4805,0.3661
lr_4808,0.3367
lr_4809,0.2263
lr_4810,0.3475
lr_4813,0.3585
lr_4835,0.1319
lr_4839,0.3724
lr_4840,0.3798
lr_4844,0.2153
lr_4845,0.3404
lr_4848,0.3396
lr_4849,0.3438
lr_4851,0.2331
lr_4855,0.1358
lr_4873,0.3576
lr_4884,0.3641
lr_4885,0.3382
lr_4891,0.2567
lr_4897,0.3463
lr_4898,0.3346
lr_4904,0.7746
lr_4906,0.7900
lr_4910,0.7828
lr_4913,0.7931
lr_4914,0.7242
lr_4916,0.7996
lr_4919,0.7856
lr_4920,0.7930
lr_4921,0.7185
lr_4922,0.7905
lr_4924,0.8027
lr_4925,0.7862
lr_4927,0.7922
lr_4928,0.6860
lr_4932,0.7715
lr_4938,0.7600
lr_4940,0.7592
lr_4941,0.7569
lr_4942,0.7140
lr_4944,0.7642
lr_4945,0.7673
lr_4948,0.7590
lr_4949,0.7166
lr_4951,0.7984
lr_4955,0.7945
lr_4962,0.7778
lr_4963,0.7305
lr_4965,0.7905
lr_4966,0.7821
lr_4973,0.7968
lr_4975,0.7923
lr_4977,0.7317
lr_4984,0.7373
lr_4987,0.7964
lr_4988,0.8060
lr_4991,0.7514
lr_4995,0.1890
lr_4996,0.2496
lr_4999,0.1515
lr_5000,0.1433
lr_5005,0.2764
lr_5010,0.2438
lr_5013,0.7890
lr_5018,0.7710
lr_5020,0.7961
lr_5022,0.7813
lr_5023,0.7890
lr_5024,0.7791
lr_5027,0.3742
lr_5032,0.3773
lr_5048,0.8031
lr_5049,0.8004
lr_5050,0.8036
lr_5053,0.7920
lr_5054,0.7664
lr_5056,0.8050
lr_5058,0.7983
lr_5060,0.7971
lr_5062,0.7212
lr_5066,0.7051
lr_5070,0.7770
lr_5071,0.7798
lr_5073,0.7751
lr_5077,0.4258
lr_5079,0.4339
lr_5080,0.4572
lr_5081,0.4569
lr_5084,0.4444
lr_5085,0.4532
lr_5086,0.4519
lr_5087,0.4271
lr_5088,0.4303
lr_5089,0.4033
lr_5093,0.4528
lr_5094,0.4374
lr_5096,0.3922
lr_5097,0.4353
lr_5098,0.4448
lr_5100,0.4466
lr_5104,0.4781
lr_5105,0.4691
lr_5107,0.4741
lr_5112,0.4745
lr_5126,0.4667
lr_5128,0.4461
lr_5129,0.4529
lr_5136,0.4661
lr_5137,0.4486
lr_5140,0.4498
lr_5141,0.4647
lr_5144,0.4581
lr_5147,0.4277
lr_5148,0.4504
lr_5150,0.4237
lr_5155,0.4786
lr_5157,0.4682
lr_5161,0.4775
lr_5162,0.4899
lr_5165,0.4744
lr_5170,0.3003
lr_5172,0.2919
lr_5173,0.2876
lr_5176,0.2966
lr_5177,0.3047
lr_5179,0.2930
lr_5180,0.2861
lr_5186,0.2929
lr_5188,0.4638
lr_5189,0.4694
lr_5191,0.4582
lr_5194,0.3410
lr_5195,0.4478
lr_5197,0.4628
lr_5199,0.4549
lr_5201,0.3915
lr_5202,0.3764
lr_5203,0.3778
lr_5205,0.3749
lr_5207,0.3729
lr_5227,0.4855
lr_5229,0.4537
lr_5230,0.4845
lr_5233,0.4806
lr_5236,0.4473
lr_5238,0.4305
lr_5246,0.4790
lr_5247,0.4811
lr_5249,0.4820
lr_5250,0.4592
